add_suspect,added_death,cumulative_death,cumulative_diagnosis,cumulative_suspect,name,new_diagnosis,province,published_at
86,1,3,342,236,北京市,5,北京市,2020-02-10
129,1,2,96,278,天津市,5,天津市,2020-02-10
15,0,2,239,44,河北省,21,河北省,2020-02-10
27,0,0,122,58,山西省,3,山西省,2020-02-10
2,0,0,58,10,内蒙古自治区,0,内蒙古自治区,2020-02-10
102,0,0,108,331,辽宁省,1,辽宁省,2020-02-10
24,0,1,81,47,吉林省,1,吉林省,2020-02-10
77,1,8,360,181,黑龙江省,29,黑龙江省,2020-02-10
88,0,1,302,180,上海市,7,上海市,2020-02-10
19,0,0,515,64,江苏省,23,江苏省,2020-02-10
63,0,0,1117,305,浙江省,25,浙江省,2020-02-10
33,1,4,860,92,安徽省,30,安徽省,2020-02-10
19,0,0,267,72,福建省,6,福建省,2020-02-10
55,0,1,804,170,江西省,32,江西省,2020-02-10
28,0,1,486,66,山东省,27,山东省,2020-02-10
252,1,7,1105,573,河南省,32,河南省,2020-02-10
1814,103,974,31728,16687,湖北省,2097,湖北省,2020-02-10
93,0,1,912,136,湖南省,33,湖南省,2020-02-10
36,0,1,1177,148,广东省,26,广东省,2020-02-10
114,0,1,215,257,广西壮族自治区,5,广西壮族自治区,2020-02-10
58,0,3,142,187,海南省,6,海南省,2020-02-10
164,0,2,486,427,重庆市,18,重庆市,2020-02-10
116,0,1,417,475,四川省,12,四川省,2020-02-10
10,0,1,118,67,贵州省,9,贵州省,2020-02-10
30,0,0,149,109,云南省,8,云南省,2020-02-10
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-10
71,0,0,219,389,陕西省,6,陕西省,2020-02-10
8,0,2,86,20,甘肃省,1,甘肃省,2020-02-10
0,0,0,18,0,青海省,0,青海省,2020-02-10
2,0,0,53,33,宁夏回族自治区,4,宁夏回族自治区,2020-02-10
1,0,0,55,33,新疆维吾尔自治区,6,新疆维吾尔自治区,2020-02-10
0,0,0,18,0,台湾省,0,台湾省,2020-02-10
0,0,1,42,0,香港特别行政区,6,香港特别行政区,2020-02-10
0,0,0,10,0,澳门特别行政区,0,澳门特别行政区,2020-02-10
94,0,2,337,207,北京市,11,北京市,2020-02-09
120,0,1,91,292,天津市,3,天津市,2020-02-09
9,0,2,218,61,河北省,12,河北省,2020-02-09
18,0,0,119,63,山西省,4,山西省,2020-02-09
3,0,0,58,12,内蒙古自治区,4,内蒙古自治区,2020-02-09
81,0,0,107,280,辽宁省,2,辽宁省,2020-02-09
15,0,1,80,40,吉林省,2,吉林省,2020-02-09
65,1,7,331,224,黑龙江省,24,黑龙江省,2020-02-09
118,0,1,295,223,上海市,3,上海市,2020-02-09
25,0,0,492,67,江苏省,24,江苏省,2020-02-09
83,0,0,1104,334,浙江省,29,浙江省,2020-02-09
61,2,3,830,115,安徽省,51,安徽省,2020-02-09
24,0,0,261,81,福建省,11,福建省,2020-02-09
57,1,1,771,183,江西省,32,江西省,2020-02-09
26,0,1,459,75,山东省,24,山东省,2020-02-09
223,0,6,1073,588,河南省,40,河南省,2020-02-09
2272,91,871,29631,18438,湖北省,2618,湖北省,2020-02-09
88,0,1,879,134,湖南省,41,湖南省,2020-02-09
33,0,1,1151,169,广东省,31,广东省,2020-02-09
81,0,1,210,243,广西壮族自治区,15,广西壮族自治区,2020-02-09
50,1,3,136,219,海南省,8,海南省,2020-02-09
167,0,2,468,418,重庆市,22,重庆市,2020-02-09
141,0,1,405,461,四川省,19,四川省,2020-02-09
11,0,1,109,75,贵州省,13,贵州省,2020-02-09
38,0,0,141,125,云南省,1,云南省,2020-02-09
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-09
88,0,0,213,375,陕西省,5,陕西省,2020-02-09
2,1,2,85,14,甘肃省,5,甘肃省,2020-02-09
0,0,0,18,0,青海省,0,青海省,2020-02-09
6,0,0,49,34,宁夏回族自治区,4,宁夏回族自治区,2020-02-09
9,0,0,49,39,新疆维吾尔自治区,4,新疆维吾尔自治区,2020-02-09
0,0,0,18,0,台湾省,1,台湾省,2020-02-09
0,0,1,36,0,香港特别行政区,10,香港特别行政区,2020-02-09
0,0,0,10,0,澳门特别行政区,0,澳门特别行政区,2020-02-09
64,0,2,326,184,北京市,11,北京市,2020-02-08
123,0,1,88,287,天津市,7,天津市,2020-02-08
26,1,2,206,76,河北省,11,河北省,2020-02-08
30,0,0,115,71,山西省,12,山西省,2020-02-08
3,0,0,54,11,内蒙古自治区,4,内蒙古自治区,2020-02-08
73,0,0,105,263,辽宁省,6,辽宁省,2020-02-08
19,0,1,78,56,吉林省,9,吉林省,2020-02-08
104,1,6,307,258,黑龙江省,26,黑龙江省,2020-02-08
99,0,1,292,205,上海市,11,上海市,2020-02-08
24,0,0,468,67,江苏省,29,江苏省,2020-02-08
77,0,0,1075,345,浙江省,27,浙江省,2020-02-08
48,1,1,779,126,安徽省,46,安徽省,2020-02-08
22,0,0,250,85,福建省,11,福建省,2020-02-08
52,0,0,740,200,江西省,42,江西省,2020-02-08
40,1,1,435,88,山东省,28,山东省,2020-02-08
246,2,6,1033,600,河南省,53,河南省,2020-02-08
2067,81,780,27100,23638,湖北省,2147,湖北省,2020-02-08
107,1,1,838,155,湖南省,35,湖南省,2020-02-08
62,0,1,1120,208,广东省,45,广东省,2020-02-08
113,1,1,195,283,广西壮族自治区,12,广西壮族自治区,2020-02-08
68,0,2,128,230,海南省,6,海南省,2020-02-08
156,0,2,446,409,重庆市,20,重庆市,2020-02-08
113,0,1,386,431,四川省,23,四川省,2020-02-08
38,0,1,96,82,贵州省,7,贵州省,2020-02-08
37,0,0,140,146,云南省,2,云南省,2020-02-08
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-08
73,0,0,208,343,陕西省,13,陕西省,2020-02-08
6,0,1,81,21,甘肃省,10,甘肃省,2020-02-08
0,0,0,18,0,青海省,0,青海省,2020-02-08
6,0,0,45,36,宁夏回族自治区,0,宁夏回族自治区,2020-02-08
20,0,0,45,38,新疆维吾尔自治区,3,新疆维吾尔自治区,2020-02-08
0,0,0,17,0,台湾省,1,台湾省,2020-02-08
0,0,1,26,0,香港特别行政区,0,香港特别行政区,2020-02-08
0,0,0,10,0,澳门特别行政区,0,澳门特别行政区,2020-02-08
83,1,2,315,163,北京市,18,北京市,2020-02-07
132,0,1,81,297,天津市,2,天津市,2020-02-07
36,0,1,195,81,河北省,24,河北省,2020-02-07
28,0,0,104,58,山西省,8,山西省,2020-02-07
4,0,0,50,12,内蒙古自治区,1,内蒙古自治区,2020-02-07
86,0,0,99,226,辽宁省,5,辽宁省,2020-02-07
13,0,1,69,67,吉林省,4,吉林省,2020-02-07
117,2,5,282,234,黑龙江省,19,黑龙江省,2020-02-07
120,0,1,281,181,上海市,12,上海市,2020-02-07
28,0,0,439,68,江苏省,31,江苏省,2020-02-07
112,0,0,1048,345,浙江省,42,浙江省,2020-02-07
70,0,0,733,140,安徽省,68,安徽省,2020-02-07
38,0,0,239,99,福建省,15,福建省,2020-02-07
69,0,0,698,218,江西省,37,江西省,2020-02-07
47,0,0,407,100,山东省,28,山东省,2020-02-07
261,1,4,981,651,河南省,67,河南省,2020-02-07
2073,81,699,24953,22433,湖北省,2841,湖北省,2020-02-07
113,0,0,803,154,湖南省,31,湖南省,2020-02-07
65,0,1,1075,195,广东省,57,广东省,2020-02-07
123,0,0,183,295,广西壮族自治区,11,广西壮族自治区,2020-02-07
79,0,2,123,203,海南省,12,海南省,2020-02-07
162,0,2,426,392,重庆市,15,重庆市,2020-02-07
160,0,1,363,432,四川省,19,四川省,2020-02-07
24,0,1,89,61,贵州省,12,贵州省,2020-02-07
63,0,0,138,144,云南省,3,云南省,2020-02-07
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-07
92,0,0,195,321,陕西省,11,陕西省,2020-02-07
8,1,1,71,23,甘肃省,1,甘肃省,2020-02-07
0,0,0,18,0,青海省,0,青海省,2020-02-07
4,0,0,45,41,宁夏回族自治区,2,宁夏回族自治区,2020-02-07
4,0,0,42,23,新疆维吾尔自治区,3,新疆维吾尔自治区,2020-02-07
0,0,0,16,0,台湾省,0,台湾省,2020-02-07
0,0,1,26,0,香港特别行政区,2,香港特别行政区,2020-02-07
0,0,0,10,0,澳门特别行政区,0,澳门特别行政区,2020-02-07
51,0,1,297,157,北京市,23,北京市,2020-02-06
101,0,1,79,228,天津市,9,天津市,2020-02-06
44,0,1,171,117,河北省,14,河北省,2020-02-06
22,0,0,96,54,山西省,6,山西省,2020-02-06
6,0,0,49,9,内蒙古自治区,3,内蒙古自治区,2020-02-06
47,0,0,94,169,辽宁省,5,辽宁省,2020-02-06
29,1,1,65,71,吉林省,6,吉林省,2020-02-06
88,0,3,277,210,黑龙江省,50,黑龙江省,2020-02-06
94,0,1,269,166,上海市,15,上海市,2020-02-06
34,0,0,408,59,江苏省,35,江苏省,2020-02-06
236,0,0,1006,422,浙江省,52,浙江省,2020-02-06
78,0,0,665,141,安徽省,74,安徽省,2020-02-06
45,0,0,224,94,福建省,9,福建省,2020-02-06
73,0,0,661,249,江西省,61,江西省,2020-02-06
48,0,0,379,96,山东省,36,山东省,2020-02-06
307,1,3,914,654,河南省,63,河南省,2020-02-06
2622,69,618,22112,21261,湖北省,2447,湖北省,2020-02-06
122,0,0,772,183,湖南省,61,湖南省,2020-02-06
71,1,1,1018,170,广东省,74,广东省,2020-02-06
142,0,0,172,340,广西壮族自治区,4,广西壮族自治区,2020-02-06
53,1,2,111,150,海南省,11,海南省,2020-02-06
177,0,2,411,408,重庆市,22,重庆市,2020-02-06
157,0,1,344,409,四川省,23,四川省,2020-02-06
38,0,1,77,54,贵州省,8,贵州省,2020-02-06
50,0,0,135,123,云南省,7,云南省,2020-02-06
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-06
70,0,0,184,260,陕西省,11,陕西省,2020-02-06
6,0,0,70,21,甘肃省,8,甘肃省,2020-02-06
0,0,0,18,0,青海省,0,青海省,2020-02-06
6,0,0,43,45,宁夏回族自治区,3,宁夏回族自治区,2020-02-06
16,0,0,39,39,新疆维吾尔自治区,3,新疆维吾尔自治区,2020-02-06
0,0,0,16,0,台湾省,5,台湾省,2020-02-06
0,0,1,24,0,香港特别行政区,3,香港特别行政区,2020-02-06
0,0,0,10,0,澳门特别行政区,0,澳门特别行政区,2020-02-06
65,0,1,274,170,北京市,21,北京市,2020-02-05
97,1,1,70,190,天津市,3,天津市,2020-02-05
60,0,1,157,133,河北省,22,河北省,2020-02-05
20,0,0,90,42,山西省,9,山西省,2020-02-05
4,0,0,46,5,内蒙古自治区,4,内蒙古自治区,2020-02-05
42,0,0,89,143,辽宁省,8,辽宁省,2020-02-05
37,0,0,59,69,吉林省,5,吉林省,2020-02-05
109,1,3,227,222,黑龙江省,37,黑龙江省,2020-02-05
102,0,1,254,196,上海市,21,上海市,2020-02-05
48,0,0,373,55,江苏省,32,江苏省,2020-02-05
155,0,0,954,322,浙江省,59,浙江省,2020-02-05
84,0,0,591,141,安徽省,61,安徽省,2020-02-05
22,0,0,215,78,福建省,10,福建省,2020-02-05
72,0,0,600,312,江西省,52,江西省,2020-02-05
37,0,0,343,85,山东省,45,山东省,2020-02-05
273,0,2,851,688,河南省,87,河南省,2020-02-05
3230,70,549,19665,19728,湖北省,2987,湖北省,2020-02-05
167,0,0,711,207,湖南省,50,湖南省,2020-02-05
61,0,0,944,148,广东省,74,广东省,2020-02-05
144,0,0,168,391,广西壮族自治区,18,广西壮族自治区,2020-02-05
38,0,1,100,132,海南省,11,海南省,2020-02-05
171,0,2,389,379,重庆市,23,重庆市,2020-02-05
135,0,1,321,340,四川省,20,四川省,2020-02-05
18,1,1,69,37,贵州省,5,贵州省,2020-02-05
28,0,0,128,149,云南省,6,云南省,2020-02-05
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-05
71,0,0,173,238,陕西省,8,陕西省,2020-02-05
8,0,0,62,16,甘肃省,5,甘肃省,2020-02-05
0,0,0,18,0,青海省,1,青海省,2020-02-05
15,0,0,40,39,宁夏回族自治区,6,宁夏回族自治区,2020-02-05
15,0,0,36,47,新疆维吾尔自治区,4,新疆维吾尔自治区,2020-02-05
0,0,0,11,0,台湾省,0,台湾省,2020-02-05
0,0,1,21,0,香港特别行政区,3,香港特别行政区,2020-02-05
0,0,0,10,0,澳门特别行政区,0,澳门特别行政区,2020-02-05
63,0,1,253,160,北京市,25,北京市,2020-02-04
97,0,0,67,190,天津市,4,天津市,2020-02-04
58,0,1,135,117,河北省,9,河北省,2020-02-04
14,0,0,81,42,山西省,7,山西省,2020-02-04
0,0,0,42,1,内蒙古自治区,5,内蒙古自治区,2020-02-04
35,0,0,81,127,辽宁省,7,辽宁省,2020-02-04
48,0,0,54,58,吉林省,12,吉林省,2020-02-04
78,0,2,190,184,黑龙江省,35,黑龙江省,2020-02-04
113,0,1,233,194,上海市,25,上海市,2020-02-04
42,0,0,341,43,江苏省,33,江苏省,2020-02-04
144,0,0,895,299,浙江省,66,浙江省,2020-02-04
63,0,0,530,130,安徽省,50,安徽省,2020-02-04
40,0,0,205,91,福建省,11,福建省,2020-02-04
116,0,0,548,343,江西省,72,江西省,2020-02-04
49,0,0,298,94,山东省,28,山东省,2020-02-04
258,0,2,764,693,河南省,89,河南省,2020-02-04
1957,65,479,16678,18447,湖北省,3156,湖北省,2020-02-04
142,0,0,661,211,湖南省,68,湖南省,2020-02-04
34,0,0,870,136,广东省,73,广东省,2020-02-04
155,0,0,150,396,广西壮族自治区,11,广西壮族自治区,2020-02-04
41,0,1,89,118,海南省,11,海南省,2020-02-04
175,0,2,366,397,重庆市,29,重庆市,2020-02-04
106,0,1,301,281,四川省,19,四川省,2020-02-04
12,0,0,64,33,贵州省,8,贵州省,2020-02-04
55,0,0,122,172,云南省,5,云南省,2020-02-04
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-04
41,0,0,165,215,陕西省,23,陕西省,2020-02-04
10,0,0,57,18,甘肃省,1,甘肃省,2020-02-04
0,0,0,17,0,青海省,2,青海省,2020-02-04
6,0,0,34,24,宁夏回族自治区,0,宁夏回族自治区,2020-02-04
19,0,0,32,46,新疆维吾尔自治区,3,新疆维吾尔自治区,2020-02-04
0,0,0,11,0,台湾省,1,台湾省,2020-02-04
0,1,1,18,0,香港特别行政区,3,香港特别行政区,2020-02-04
0,0,0,10,0,澳门特别行政区,2,澳门特别行政区,2020-02-04
65,0,1,228,141,北京市,16,北京市,2020-02-03
85,0,0,63,168,天津市,14,天津市,2020-02-03
41,0,1,126,93,河北省,13,河北省,2020-02-03
21,0,0,74,62,山西省,8,山西省,2020-02-03
0,0,0,37,2,内蒙古自治区,4,内蒙古自治区,2020-02-03
42,0,0,74,120,辽宁省,4,辽宁省,2020-02-03
17,0,0,42,24,吉林省,11,吉林省,2020-02-03
93,0,2,155,178,黑龙江省,39,黑龙江省,2020-02-03
84,0,1,208,168,上海市,15,上海市,2020-02-03
39,0,0,308,47,江苏省,37,江苏省,2020-02-03
173,0,0,829,258,浙江省,105,浙江省,2020-02-03
57,0,0,480,124,安徽省,72,安徽省,2020-02-03
32,0,0,194,87,福建省,15,福建省,2020-02-03
92,0,0,476,319,江西省,85,江西省,2020-02-03
33,0,0,270,70,山东省,24,山东省,2020-02-03
248,0,2,675,678,河南省,109,河南省,2020-02-03
3182,64,414,13522,18549,湖北省,2345,湖北省,2020-02-03
137,0,0,593,289,湖南省,72,湖南省,2020-02-03
48,0,0,797,180,广东省,114,广东省,2020-02-03
130,0,0,139,364,广西壮族自治区,12,广西壮族自治区,2020-02-03
31,0,1,79,109,海南省,9,海南省,2020-02-03
170,0,2,337,387,重庆市,37,重庆市,2020-02-03
82,0,1,282,258,四川省,28,四川省,2020-02-03
17,0,0,56,33,贵州省,10,贵州省,2020-02-03
64,0,0,117,225,云南省,8,云南省,2020-02-03
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-03
53,0,0,142,221,陕西省,14,陕西省,2020-02-03
7,0,0,56,9,甘肃省,5,甘肃省,2020-02-03
0,0,0,15,0,青海省,2,青海省,2020-02-03
6,0,0,34,18,宁夏回族自治区,3,宁夏回族自治区,2020-02-03
23,0,0,29,33,新疆维吾尔自治区,5,新疆维吾尔自治区,2020-02-03
0,0,0,10,0,台湾省,0,台湾省,2020-02-03
0,0,0,15,0,香港特别行政区,0,香港特别行政区,2020-02-03
0,0,0,8,0,澳门特别行政区,0,澳门特别行政区,2020-02-03
0,0,1,212,0,北京市,32,北京市,2020-02-02
65,0,0,49,133,天津市,4,天津市,2020-02-02
50,0,1,113,108,河北省,9,河北省,2020-02-02
32,0,0,66,64,山西省,10,山西省,2020-02-02
1,0,0,33,4,内蒙古自治区,7,内蒙古自治区,2020-02-02
56,0,0,70,113,辽宁省,6,辽宁省,2020-02-02
12,0,0,31,17,吉林省,8,吉林省,2020-02-02
73,0,2,118,163,黑龙江省,23,黑龙江省,2020-02-02
96,0,1,193,173,上海市,16,上海市,2020-02-02
26,0,0,271,44,江苏省,35,江苏省,2020-02-02
102,0,0,724,201,浙江省,63,浙江省,2020-02-02
75,0,0,408,153,安徽省,68,安徽省,2020-02-02
47,0,0,179,96,福建省,20,福建省,2020-02-02
104,0,0,391,359,江西省,59,江西省,2020-02-02
28,0,0,246,62,山东省,21,山东省,2020-02-02
260,0,2,566,760,河南省,73,河南省,2020-02-02
3260,56,350,11177,16898,湖北省,2103,湖北省,2020-02-02
183,0,0,521,351,湖南省,58,湖南省,2020-02-02
86,0,0,683,205,广东省,79,广东省,2020-02-02
128,0,0,127,330,广西壮族自治区,16,广西壮族自治区,2020-02-02
50,0,1,70,113,海南省,7,海南省,2020-02-02
178,1,2,300,398,重庆市,38,重庆市,2020-02-02
103,0,1,254,268,四川省,23,四川省,2020-02-02
18,0,0,46,41,贵州省,8,贵州省,2020-02-02
85,0,0,109,252,云南省,10,云南省,2020-02-02
0,0,0,1,0,西藏自治区,0,西藏自治区,2020-02-02
36,0,0,128,205,陕西省,12,陕西省,2020-02-02
3,0,0,51,9,甘肃省,11,甘肃省,2020-02-02
0,0,0,13,0,青海省,4,青海省,2020-02-02
4,0,0,31,12,宁夏回族自治区,3,宁夏回族自治区,2020-02-02
12,0,0,24,26,新疆维吾尔自治区,3,新疆维吾尔自治区,2020-02-02
0,0,0,10,0,台湾省,0,台湾省,2020-02-02
0,0,0,15,0,香港特别行政区,1,香港特别行政区,2020-02-02
0,0,0,8,0,澳门特别行政区,1,澳门特别行政区,2020-02-02
0,0,1,183,0,北京市,27,北京市,2020-02-01
57,0,0,45,112,天津市,11,天津市,2020-02-01
60,0,1,104,104,河北省,8,河北省,2020-02-01
26,0,0,56,64,山西省,9,山西省,2020-02-01
5,0,0,26,7,内蒙古自治区,3,内蒙古自治区,2020-02-01
48,0,0,64,116,辽宁省,4,辽宁省,2020-02-01
10,0,0,23,14,吉林省,6,吉林省,2020-02-01
78,0,2,95,172,黑龙江省,15,黑龙江省,2020-02-01
103,0,1,177,168,上海市,24,上海市,2020-02-01
34,0,0,236,47,江苏省,34,江苏省,2020-02-01
109,0,0,661,207,浙江省,62,浙江省,2020-02-01
82,0,0,340,160,安徽省,43,安徽省,2020-02-01
39,0,0,159,99,福建省,15,福建省,2020-02-01
100,0,0,333,312,江西省,47,江西省,2020-02-01
42,0,0,225,81,山东省,23,山东省,2020-02-01
254,0,2,493,754,河南省,71,河南省,2020-02-01
2606,45,294,9074,14872,湖北省,1921,湖北省,2020-02-01
186,0,0,463,434,湖南省,74,湖南省,2020-02-01
69,0,0,604,157,广东省,85,广东省,2020-02-01
136,0,0,111,319,广西壮族自治区,11,广西壮族自治区,2020-02-01
38,0,1,63,101,海南省,6,海南省,2020-02-01
